Bias, Current, error
-2.00018,-4.69947,0.00157
-1.99618,-4.69944,0.00159
-1.99218,-4.6992,0.00155
-1.98818,-4.69908,0.00157
-1.98418,-4.69901,0.00157
-1.98018,-4.69883,0.00155
-1.97618,-4.69875,0.00156
-1.97218,-4.69834,0.00164
-1.96818,-4.6983,0.00161
-1.96418,-4.69834,0.00154
-1.96018,-4.69821,0.00156
-1.95618,-4.69823,0.0016
-1.95218,-4.69788,0.00154
-1.94818,-4.69781,0.00156
-1.94418,-4.69759,0.00158
-1.94018,-4.69734,0.00154
-1.93618,-4.69732,0.00156
-1.93218,-4.69718,0.00156
-1.92818,-4.69707,0.00156
-1.92418,-4.69662,0.00163
-1.92018,-4.69691,0.00158
-1.91618,-4.69631,0.00154
-1.91218,-4.69665,0.00155
-1.90818,-4.69632,0.00156
-1.90418,-4.69637,0.00156
-1.90018,-4.69624,0.00155
-1.89618,-4.69625,0.00154
-1.89218,-4.69581,0.00157
-1.88818,-4.69573,0.00155
-1.88418,-4.69558,0.00156
-1.88018,-4.69548,0.00157
-1.87618,-4.69535,0.00156
-1.87218,-4.69519,0.00158
-1.86818,-4.69508,0.00156
-1.86418,-4.69487,0.00156
-1.86018,-4.69471,0.00154
-1.85618,-4.69465,0.00157
-1.85218,-4.69456,0.00157
-1.84818,-4.69435,0.00156
-1.84418,-4.69442,0.00155
-1.84018,-4.69403,0.00153
-1.83618,-4.69403,0.00153
-1.83218,-4.694,0.00153
-1.82818,-4.69364,0.00153
-1.82418,-4.69365,0.00154
-1.82018,-4.69342,0.00156
-1.81618,-4.69341,0.00155
-1.81218,-4.69309,0.00154
-1.80818,-4.69307,0.00153
-1.80418,-4.69298,0.00156
-1.80018,-4.69278,0.00154
-1.79618,-4.69284,0.00153
-1.79218,-4.69274,0.00154
-1.78818,-4.69233,0.00154
-1.78418,-4.69235,0.00153
-1.78018,-4.69208,0.00151
-1.77618,-4.692,0.00155
-1.77218,-4.69196,0.00153
-1.76818,-4.69148,0.00151
-1.76418,-4.69154,0.00151
-1.76018,-4.69153,0.00153
-1.75618,-4.69111,0.00157
