Bias,Current,error
-2.00018,-4.66343,0.02325
-1.99618,-4.66667,0.02257
-1.99218,-4.66866,0.02172
-1.98818,-4.66883,0.02131
-1.98418,-4.66895,0.02131
-1.98018,-4.66854,0.02132
-1.97618,-4.66817,0.02108
-1.97218,-4.66818,0.02077
-1.96818,-4.66833,0.01993
-1.96418,-4.67024,0.01796
-1.96018,-4.67301,0.01563
-1.95618,-4.67442,0.01457
-1.95218,-4.67493,0.0138
-1.94818,-4.67554,0.01343
-1.94418,-4.6765,0.01302
-1.94018,-4.67636,0.01312
-1.93618,-4.67698,0.01331
-1.93218,-4.67842,0.01337
-1.92818,-4.67679,0.01401
-1.92418,-4.67456,0.01482
-1.92018,-4.6724,0.01568
-1.91618,-4.66985,0.01647
-1.91218,-4.66749,0.01706
-1.90818,-4.66695,0.01754
-1.90418,-4.66567,0.01825
-1.90018,-4.6621,0.0191
-1.89618,-4.6586,0.01999
-1.89218,-4.65543,0.02062
-1.88818,-4.65285,0.02115
-1.88418,-4.64989,0.0218
-1.88018,-4.64773,0.02247
-1.87618,-4.64685,0.02294
-1.87218,-4.64478,0.0234
-1.86818,-4.64353,0.02381
-1.86418,-4.64083,0.02462
-1.86018,-4.6372,0.02549
-1.85618,-4.63409,0.02613
-1.85218,-4.63123,0.02652
-1.84818,-4.62806,0.02727
-1.84418,-4.62328,0.02829
-1.84018,-4.61896,0.02908
-1.83618,-4.61626,0.02912
-1.83218,-4.61431,0.02931
-1.82818,-4.61153,0.02974
-1.82418,-4.60826,0.03053
-1.82018,-4.60355,0.03182
-1.81618,-4.59912,0.03296
-1.81218,-4.59459,0.0341
-1.80818,-4.58907,0.03527
-1.80418,-4.58301,0.0366
-1.80018,-4.57651,0.03783
-1.79618,-4.57074,0.03901
-1.79218,-4.56405,0.04011
-1.78818,-4.55673,0.04141
-1.78418,-4.54917,0.04273
-1.78018,-4.54246,0.04386
-1.77618,-4.53584,0.04502
-1.77218,-4.53078,0.04605
-1.76818,-4.52607,0.04705
-1.76418,-4.52116,0.04824
-1.76018,-4.51687,0.04918
-1.75618,-4.51281,0.05006
-1.75218,-4.50691,0.05093
-1.74818,-4.50121,0.05175
-1.74418,-4.49653,0.05248
-1.74018,-4.48929,0.05356
-1.73618,-4.48278,0.05474
-1.73218,-4.47577,0.05578
-1.72818,-4.46929,0.05687
-1.72418,-4.46291,0.0579
-1.72018,-4.45555,0.05899
-1.71618,-4.44947,0.05999
-1.71218,-4.44351,0.06101
-1.70818,-4.43682,0.06197
